SKU,Category,Title,Description,Text,Photo,Price,Quantity,Price Old,Editions,Modifications,External ID,Parent UID,SEO keywords
17137067-2906-4c94-bae9-f3c3a830bd55,Груша;сердечки;белый,Не складывается,,,https://ikondor.github.io/mawave/output/%D0%9D%D0%B5%20%D1%81%D0%BA%D0%BB%D0%B0%D0%B4%D1%8B%D0%B2%D0%B0%D0%B5%D1%82%D1%81%D1%8F:2450:%D0%93%D1%80%D1%83%D1%88%D0%B0;%D1%81%D0%B5%D1%80%D0%B4%D0%B5%D1%87%D0%BA%D0%B8;%D0%B1%D0%B5%D0%BB%D1%8B%D0%B9:17137067-2906-4c94-bae9-f3c3a830bd55.jpeg,2450,,,,,17137067-2906-4c94-bae9-f3c3a830bd55,,"Купить кружку, Купить посуду, заказать кружку, закзать посуду, купить кружку ручной работы"
ba6470cb-260a-4362-aae7-94a4a53d2d55,груша;сердечки;18+;белый,Нет ничего невозможного,,,https://ikondor.github.io/mawave/output/%D0%9D%D0%B5%D1%82%20%D0%BD%D0%B8%D1%87%D0%B5%D0%B3%D0%BE%20%D0%BD%D0%B5%D0%B2%D0%BE%D0%B7%D0%BC%D0%BE%D0%B6%D0%BD%D0%BE%D0%B3%D0%BE:2450:%D0%B3%D1%80%D1%83%D1%88%D0%B0;%D1%81%D0%B5%D1%80%D0%B4%D0%B5%D1%87%D0%BA%D0%B8;18+;%D0%B1%D0%B5%D0%BB%D1%8B%D0%B9:ba6470cb-260a-4362-aae7-94a4a53d2d55.jpeg,2450,,,,,ba6470cb-260a-4362-aae7-94a4a53d2d55,,"Купить кружку, Купить посуду, заказать кружку, закзать посуду, купить кружку ручной работы"
9c432466-a4eb-4d46-9f8d-9b0f7272e41b,Цилиндр;сердечки;18+;белый,Нет ничего невозможного,,,https://ikondor.github.io/mawave/output/%D0%9D%D0%B5%D1%82%20%D0%BD%D0%B8%D1%87%D0%B5%D0%B3%D0%BE%20%D0%BD%D0%B5%D0%B2%D0%BE%D0%B7%D0%BC%D0%BE%D0%B6%D0%BD%D0%BE%D0%B3%D0%BE:2550:%D0%A6%D0%B8%D0%BB%D0%B8%D0%BD%D0%B4%D1%80;%D1%81%D0%B5%D1%80%D0%B4%D0%B5%D1%87%D0%BA%D0%B8;18+;%D0%B1%D0%B5%D0%BB%D1%8B%D0%B9:9c432466-a4eb-4d46-9f8d-9b0f7272e41b.jpeg,2550,,,,,9c432466-a4eb-4d46-9f8d-9b0f7272e41b,,"Купить кружку, Купить посуду, заказать кружку, закзать посуду, купить кружку ручной работы"
93e0587f-eb15-4506-9dbf-77d19fd6cb67,Груша;Знаки зодиака;синий,Овен,,,https://ikondor.github.io/mawave/output/%D0%9E%D0%B2%D0%B5%D0%BD:2250:%D0%93%D1%80%D1%83%D1%88%D0%B0;%D0%97%D0%BD%D0%B0%D0%BA%D0%B8%20%D0%B7%D0%BE%D0%B4%D0%B8%D0%B0%D0%BA%D0%B0;%D1%81%D0%B8%D0%BD%D0%B8%D0%B9:93e0587f-eb15-4506-9dbf-77d19fd6cb67.jpeg,2250,,,,,93e0587f-eb15-4506-9dbf-77d19fd6cb67,,"Купить кружку, Купить посуду, заказать кружку, закзать посуду, купить кружку ручной работы"
593c1cf0-258e-4141-b520-56b997f04303,цилиндр;Без коллекции;красный,Пиздец как смело,,,https://ikondor.github.io/mawave/output/%D0%9F%D0%B8%D0%B7%D0%B4%D0%B5%D1%86%20%D0%BA%D0%B0%D0%BA%20%D1%81%D0%BC%D0%B5%D0%BB%D0%BE:2350:%D1%86%D0%B8%D0%BB%D0%B8%D0%BD%D0%B4%D1%80;%D0%91%D0%B5%D0%B7%20%D0%BA%D0%BE%D0%BB%D0%BB%D0%B5%D0%BA%D1%86%D0%B8%D0%B8;%D0%BA%D1%80%D0%B0%D1%81%D0%BD%D1%8B%D0%B9:593c1cf0-258e-4141-b520-56b997f04303.jpeg,2350,,,,,593c1cf0-258e-4141-b520-56b997f04303,,"Купить кружку, Купить посуду, заказать кружку, закзать посуду, купить кружку ручной работы"
6d71406b-e063-4d53-b384-3f6b4415c302,Фундук;Осень;серый,Пора перемен,,,https://ikondor.github.io/mawave/output/%D0%9F%D0%BE%D1%80%D0%B0%20%D0%BF%D0%B5%D1%80%D0%B5%D0%BC%D0%B5%D0%BD:2350:%D0%A4%D1%83%D0%BD%D0%B4%D1%83%D0%BA;%D0%9E%D1%81%D0%B5%D0%BD%D1%8C;%D1%81%D0%B5%D1%80%D1%8B%D0%B9:6d71406b-e063-4d53-b384-3f6b4415c302.jpeg,2350,,,,,6d71406b-e063-4d53-b384-3f6b4415c302,,"Купить кружку, Купить посуду, заказать кружку, закзать посуду, купить кружку ручной работы"
7eab7a5c-07a9-4576-a527-1f974e6dcbf6,Фундук;Без коллекции;белый,Просто люби,,,https://ikondor.github.io/mawave/output/%D0%9F%D1%80%D0%BE%D1%81%D1%82%D0%BE%20%D0%BB%D1%8E%D0%B1%D0%B8:2350:%D0%A4%D1%83%D0%BD%D0%B4%D1%83%D0%BA;%D0%91%D0%B5%D0%B7%20%D0%BA%D0%BE%D0%BB%D0%BB%D0%B5%D0%BA%D1%86%D0%B8%D0%B8;%D0%B1%D0%B5%D0%BB%D1%8B%D0%B9:7eab7a5c-07a9-4576-a527-1f974e6dcbf6.jpeg,2350,,,,,7eab7a5c-07a9-4576-a527-1f974e6dcbf6,,"Купить кружку, Купить посуду, заказать кружку, закзать посуду, купить кружку ручной работы"
565f819f-1f78-40d3-8ca4-e2c65e434a86,Фундук;Без коллекции;розовый,Просто люби,,,https://ikondor.github.io/mawave/output/%D0%9F%D1%80%D0%BE%D1%81%D1%82%D0%BE%20%D0%BB%D1%8E%D0%B1%D0%B8:2350:%D0%A4%D1%83%D0%BD%D0%B4%D1%83%D0%BA;%D0%91%D0%B5%D0%B7%20%D0%BA%D0%BE%D0%BB%D0%BB%D0%B5%D0%BA%D1%86%D0%B8%D0%B8;%D1%80%D0%BE%D0%B7%D0%BE%D0%B2%D1%8B%D0%B9:565f819f-1f78-40d3-8ca4-e2c65e434a86.jpeg,2350,,,,,565f819f-1f78-40d3-8ca4-e2c65e434a86,,"Купить кружку, Купить посуду, заказать кружку, закзать посуду, купить кружку ручной работы"
8707cf94-9042-4ec4-8b62-fc0e1857aa8a,Груша;Без коллекции;бежевый,Психологиня,,,https://ikondor.github.io/mawave/output/%D0%9F%D1%81%D0%B8%D1%85%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D0%BD%D1%8F:2250:%D0%93%D1%80%D1%83%D1%88%D0%B0;%D0%91%D0%B5%D0%B7%20%D0%BA%D0%BE%D0%BB%D0%BB%D0%B5%D0%BA%D1%86%D0%B8%D0%B8;%D0%B1%D0%B5%D0%B6%D0%B5%D0%B2%D1%8B%D0%B9:8707cf94-9042-4ec4-8b62-fc0e1857aa8a.jpeg,2250,,,,,8707cf94-9042-4ec4-8b62-fc0e1857aa8a,,"Купить кружку, Купить посуду, заказать кружку, закзать посуду, купить кружку ручной работы"
0e65880f-6b95-4b19-ac8f-0ede11cd6e99,фундук;Без коллекции;синий,Работаю сутками,,,https://ikondor.github.io/mawave/output/%D0%A0%D0%B0%D0%B1%D0%BE%D1%82%D0%B0%D1%8E%20%D1%81%D1%83%D1%82%D0%BA%D0%B0%D0%BC%D0%B8:2350:%D1%84%D1%83%D0%BD%D0%B4%D1%83%D0%BA;%D0%91%D0%B5%D0%B7%20%D0%BA%D0%BE%D0%BB%D0%BB%D0%B5%D0%BA%D1%86%D0%B8%D0%B8;%D1%81%D0%B8%D0%BD%D0%B8%D0%B9:0e65880f-6b95-4b19-ac8f-0ede11cd6e99.jpeg,2350,,,,,0e65880f-6b95-4b19-ac8f-0ede11cd6e99,,"Купить кружку, Купить посуду, заказать кружку, закзать посуду, купить кружку ручной работы"
